,path,duration,dataset,emotion
71,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_moon_ps.wav,2.313,TESS,surprise
72,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_make_ps.wav,1.873,TESS,surprise
73,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_life_ps.wav,1.964,TESS,surprise
74,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_keg_ps.wav,1.781,TESS,surprise
75,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_lid_ps.wav,1.711,TESS,surprise
76,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_join_ps.wav,1.89,TESS,surprise
77,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_keep_ps.wav,1.91,TESS,surprise
78,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_lose_ps.wav,1.969,TESS,surprise
79,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_near_ps.wav,1.907,TESS,surprise
80,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_limb_ps.wav,2.214,TESS,surprise
81,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_lore_ps.wav,1.765,TESS,surprise
82,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_juice_ps.wav,2.03,TESS,surprise
83,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_nice_ps.wav,1.87,TESS,surprise
84,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_page_ps.wav,2.26,TESS,surprise
85,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_kick_ps.wav,1.972,TESS,surprise
86,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_mood_ps.wav,1.826,TESS,surprise
87,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_pad_ps.wav,1.865,TESS,surprise
88,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_mess_ps.wav,1.905,TESS,surprise
89,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_neat_ps.wav,1.834,TESS,surprise
90,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_keen_ps.wav,2.323,TESS,surprise
91,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_match_ps.wav,1.872,TESS,surprise
92,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_mop_ps.wav,1.907,TESS,surprise
93,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_live_ps.wav,1.736,TESS,surprise
94,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_lean_ps.wav,1.852,TESS,surprise
95,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_late_ps.wav,1.927,TESS,surprise
96,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_mode_ps.wav,2.154,TESS,surprise
97,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_love_ps.wav,2.36,TESS,surprise
98,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_knock_ps.wav,2.308,TESS,surprise
99,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_name_ps.wav,1.696,TESS,surprise
100,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_laud_ps.wav,2.333,TESS,surprise
101,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_long_ps.wav,1.92,TESS,surprise
102,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_numb_ps.wav,1.65,TESS,surprise
103,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_loaf_ps.wav,1.84,TESS,surprise
104,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_note_ps.wav,1.813,TESS,surprise
105,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_lease_ps.wav,1.92,TESS,surprise
106,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_met_ps.wav,2.153,TESS,surprise
107,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_king_ps.wav,2.322,TESS,surprise
108,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_learn_ps.wav,1.701,TESS,surprise
109,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_mouse_ps.wav,1.971,TESS,surprise
110,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_lot_ps.wav,2.245,TESS,surprise
111,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_mob_ps.wav,1.854,TESS,surprise
112,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_kill_ps.wav,1.797,TESS,surprise
113,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_judge_ps.wav,2.051,TESS,surprise
114,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_jug_ps.wav,1.898,TESS,surprise
115,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_nag_ps.wav,2.238,TESS,surprise
116,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_merge_ps.wav,1.843,TESS,surprise
117,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_rush_ps.wav,1.962,TESS,surprise
118,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_pool_ps.wav,2.071,TESS,surprise
119,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_rough_ps.wav,2.033,TESS,surprise
120,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_should_ps.wav,1.862,TESS,surprise
121,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_shall_ps.wav,1.814,TESS,surprise
122,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_raid_ps.wav,2.007,TESS,surprise
123,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_peg_ps.wav,1.876,TESS,surprise
124,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_shawl_ps.wav,1.879,TESS,surprise
125,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_pick_ps.wav,1.804,TESS,surprise
126,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_ring_ps.wav,1.752,TESS,surprise
127,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_sheep_ps.wav,1.924,TESS,surprise
128,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_pike_ps.wav,1.919,TESS,surprise
129,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_search_ps.wav,2.03,TESS,surprise
130,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_raise_ps.wav,2.334,TESS,surprise
131,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_seize_ps.wav,1.986,TESS,surprise
132,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_ripe_ps.wav,1.874,TESS,surprise
133,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_pain_ps.wav,1.942,TESS,surprise
134,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_soap_ps.wav,1.954,TESS,surprise
135,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_size_ps.wav,2.451,TESS,surprise
136,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_said_ps.wav,1.808,TESS,surprise
137,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_phone_ps.wav,1.708,TESS,surprise
138,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_rose_ps.wav,2.057,TESS,surprise
139,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_rag_ps.wav,2.157,TESS,surprise
140,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_rat_ps.wav,1.794,TESS,surprise
141,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_reach_ps.wav,2.234,TESS,surprise
142,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_soup_ps.wav,1.985,TESS,surprise
143,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_perch_ps.wav,2.146,TESS,surprise
144,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_sub_ps.wav,2.216,TESS,surprise
145,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_sail_ps.wav,1.986,TESS,surprise
146,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_shout_ps.wav,2.374,TESS,surprise
147,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_shack_ps.wav,1.806,TESS,surprise
148,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_pole_ps.wav,1.661,TESS,surprise
149,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_sure_ps.wav,2.231,TESS,surprise
150,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_road_ps.wav,1.749,TESS,surprise
151,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_pearl_ps.wav,1.869,TESS,surprise
152,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_rot_ps.wav,1.781,TESS,surprise
153,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_room_ps.wav,1.812,TESS,surprise
154,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_pass_ps.wav,2.029,TESS,surprise
155,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_read_ps.wav,1.719,TESS,surprise
156,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_rain_ps.wav,1.755,TESS,surprise
157,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_take_ps.wav,2.374,TESS,surprise
158,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_sell_ps.wav,2.067,TESS,surprise
159,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_puff_ps.wav,2.212,TESS,surprise
160,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_south_ps.wav,1.959,TESS,surprise
161,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_such_ps.wav,1.988,TESS,surprise
162,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_shirt_ps.wav,2.028,TESS,surprise
163,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_red_ps.wav,1.86,TESS,surprise
164,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_sour_ps.wav,1.908,TESS,surprise
165,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_talk_ps.wav,1.987,TESS,surprise
166,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_turn_ps.wav,1.747,TESS,surprise
167,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_team_ps.wav,1.88,TESS,surprise
168,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_tell_ps.wav,1.874,TESS,surprise
169,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_which_ps.wav,2.303,TESS,surprise
170,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_wire_ps.wav,1.922,TESS,surprise
171,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_tape_ps.wav,1.976,TESS,surprise
172,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_wheat_ps.wav,1.862,TESS,surprise
173,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_young_ps.wav,1.786,TESS,surprise
174,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_thin_ps.wav,1.873,TESS,surprise
175,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_tough_ps.wav,2.289,TESS,surprise
176,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_tip_ps.wav,2.232,TESS,surprise
177,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_third_ps.wav,2.342,TESS,surprise
178,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_wag_ps.wav,1.806,TESS,surprise
179,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_week_ps.wav,2.357,TESS,surprise
180,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_tool_ps.wav,1.716,TESS,surprise
181,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_time_ps.wav,1.952,TESS,surprise
182,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_void_ps.wav,1.828,TESS,surprise
183,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_ton_ps.wav,1.792,TESS,surprise
184,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_yearn_ps.wav,1.917,TESS,surprise
185,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_thought_ps.wav,1.908,TESS,surprise
186,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_thumb_ps.wav,1.879,TESS,surprise
187,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_when_ps.wav,1.882,TESS,surprise
188,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_wash_ps.wav,2.014,TESS,surprise
189,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_walk_ps.wav,1.919,TESS,surprise
190,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_whip_ps.wav,2.038,TESS,surprise
